@RELATION ner

@ATTRIBUTE 164 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 156 NUMERIC
@ATTRIBUTE 169 NUMERIC
@ATTRIBUTE 94 NUMERIC
@ATTRIBUTE 67 NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE 66 NUMERIC
@ATTRIBUTE 157 NUMERIC
@ATTRIBUTE 158 NUMERIC
@ATTRIBUTE 159 NUMERIC
@ATTRIBUTE 160 NUMERIC
@ATTRIBUTE 161 NUMERIC
@ATTRIBUTE 144 NUMERIC
@ATTRIBUTE 171 NUMERIC
@ATTRIBUTE 155 NUMERIC
@ATTRIBUTE 167 NUMERIC
@ATTRIBUTE 162 NUMERIC
@ATTRIBUTE 88 NUMERIC
@ATTRIBUTE 53 NUMERIC
@ATTRIBUTE 170 NUMERIC
@ATTRIBUTE 74 NUMERIC
@ATTRIBUTE 75 NUMERIC
@ATTRIBUTE 51 NUMERIC
@ATTRIBUTE 93 NUMERIC
@ATTRIBUTE 87 NUMERIC
@ATTRIBUTE 65 NUMERIC
@ATTRIBUTE 82 NUMERIC
@ATTRIBUTE 83 NUMERIC
@ATTRIBUTE 81 NUMERIC
@ATTRIBUTE 86 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 64 NUMERIC
@ATTRIBUTE 175 NUMERIC
@ATTRIBUTE 85 NUMERIC
@ATTRIBUTE 39 NUMERIC
@ATTRIBUTE 115 NUMERIC
@ATTRIBUTE 166 NUMERIC
@ATTRIBUTE 76 NUMERIC
@ATTRIBUTE 101 NUMERIC
@ATTRIBUTE 68 NUMERIC
@ATTRIBUTE 89 NUMERIC
@ATTRIBUTE 122 NUMERIC
@ATTRIBUTE 58 NUMERIC
@ATTRIBUTE 59 NUMERIC
@ATTRIBUTE 38 NUMERIC
@ATTRIBUTE 46 NUMERIC
@ATTRIBUTE 172 NUMERIC
@ATTRIBUTE 55 NUMERIC
@ATTRIBUTE 145 NUMERIC
@ATTRIBUTE 47 NUMERIC
@ATTRIBUTE 90 NUMERIC
@ATTRIBUTE 80 NUMERIC
@ATTRIBUTE 69 NUMERIC
@ATTRIBUTE 54 NUMERIC
@ATTRIBUTE 109 NUMERIC
@ATTRIBUTE 149 NUMERIC
@ATTRIBUTE 110 NUMERIC
@ATTRIBUTE 52 NUMERIC
@ATTRIBUTE 60 NUMERIC
@ATTRIBUTE 48 NUMERIC
@ATTRIBUTE 141 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE 37 NUMERIC
@ATTRIBUTE 150 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 117 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 121 NUMERIC
@ATTRIBUTE 137 NUMERIC
@ATTRIBUTE 43 NUMERIC
@ATTRIBUTE 45 NUMERIC
@ATTRIBUTE 143 NUMERIC
@ATTRIBUTE 113 NUMERIC
@ATTRIBUTE 103 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 63 NUMERIC
@ATTRIBUTE 73 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 111 NUMERIC
@ATTRIBUTE 151 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 119 NUMERIC
@ATTRIBUTE 154 NUMERIC
@ATTRIBUTE 104 NUMERIC
@ATTRIBUTE 49 NUMERIC
@ATTRIBUTE 34 NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE 33 NUMERIC
@ATTRIBUTE 153 NUMERIC
@ATTRIBUTE 107 NUMERIC
@ATTRIBUTE 118 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 152 NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 84 NUMERIC
@ATTRIBUTE 31 NUMERIC
@ATTRIBUTE 126 NUMERIC
@ATTRIBUTE 44 NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE 77 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 136 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 138 NUMERIC
@ATTRIBUTE 173 NUMERIC
@ATTRIBUTE 42 NUMERIC
@ATTRIBUTE 168 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 41 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 32 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 35 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 36 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 140 NUMERIC
@ATTRIBUTE 165 NUMERIC
@ATTRIBUTE 120 NUMERIC
@ATTRIBUTE 123 NUMERIC
@ATTRIBUTE 114 NUMERIC
@ATTRIBUTE 116 NUMERIC
@ATTRIBUTE 112 NUMERIC
@ATTRIBUTE 56 NUMERIC
@ATTRIBUTE 105 NUMERIC
@ATTRIBUTE 106 NUMERIC
@ATTRIBUTE 108 NUMERIC
@ATTRIBUTE 124 NUMERIC
@ATTRIBUTE 125 NUMERIC
@ATTRIBUTE 127 NUMERIC
@ATTRIBUTE 134 NUMERIC
@ATTRIBUTE 135 NUMERIC
@ATTRIBUTE 128 NUMERIC
@ATTRIBUTE 133 NUMERIC
@ATTRIBUTE 132 NUMERIC
@ATTRIBUTE 131 NUMERIC
@ATTRIBUTE 130 NUMERIC
@ATTRIBUTE 129 NUMERIC
@ATTRIBUTE 102 NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE 99 NUMERIC
@ATTRIBUTE 71 NUMERIC
@ATTRIBUTE 72 NUMERIC
@ATTRIBUTE 79 NUMERIC
@ATTRIBUTE 139 NUMERIC
@ATTRIBUTE 163 NUMERIC
@ATTRIBUTE 62 NUMERIC
@ATTRIBUTE 61 NUMERIC
@ATTRIBUTE 57 NUMERIC
@ATTRIBUTE class  {Y, N}

@DATA
-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.415, -1.0, 0.2, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.714, -0.367, -1.0, -1.0, -1.0, -0.333, -1.0, -1.0, 0.267, -1.0, -0.429, 1.0, -1.0, -1.0, -1.0, -1.0, -0.578, -0.6, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.714, -1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.515, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
1.0, -1.0, -1.0, -1.0, -1.0, 0.689, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.2, 1.0, 0.186, -1.0, -1.0, -1.0, 1.0, ?, 1.0, -1.0, -1.0, -1.0, -0.5, -1.0, 1.0, -0.367, -1.0, 0.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, -0.367, -1.0, -0.789, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.692, -1.0, ?, 1.0, 0.112, -1.0, -1.0, -1.0, -1.0, -0.6, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, 0.056, -0.316, -0.5, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -0.5, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.692, -1.0, -0.5, 1.0, -0.777, -1.0, -1.0, 1.0, -1.0, ?, -0.367, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -0.789, -0.316, -0.6, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -0.143, -1.0, 0.267, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, -1.0, 0.267, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.692, -1.0, -0.143, 1.0, -0.579, -1.0, -1.0, 1.0, 1.0, ?, 1.0, -1.0, -1.0, -1.0, -0.5, -1.0, -1.0, -1.0, -0.316, ?, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 0.9, 1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.038, -1.0, -1.0, -1.0, -0.714, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.6, 0.267, -1.0, -1.0, -1.0, -0.333, -1.0, -1.0, -0.789, -0.368, -0.5, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -0.5, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 0.6, -1.0, 0.056, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.788, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -0.267, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 0.9, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.714, -0.578, -1.0, -1.0, -1.0, -0.6, -1.0, -1.0, 0.267, -0.368, -0.333, 1.0, -1.0, -1.0, -1.0, 1.0, 0.056, 0.6, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.131, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 0.056, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.6, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -0.5, 0.9, -1.0, -1.0, -1.0, -0.714, -1.0, -1.0, -0.578, -0.368, -0.6, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, ?, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.6, -1.0, -0.789, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.232, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.2, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.714, -0.367, -1.0, -1.0, -1.0, -0.333, 1.0, -1.0, 1.0, -1.0, -0.714, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -0.6, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.738, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, 1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, N
1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.6, 1.0, 0.186, -1.0, -1.0, 1.0, 1.0, ?, 1.0, -1.0, -1.0, -1.0, 0.2, -1.0, 1.0, -0.578, -1.0, -0.714, 1.0, -1.0, -1.0, -1.0, -1.0, 0.056, -0.6, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.636, -1.0, -0.367, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 0.9, 1.0, -0.367, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.333, -0.789, -1.0, -1.0, -1.0, -0.667, 1.0, -1.0, -0.578, -1.0, -0.333, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -0.333, -1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, -0.367, -1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.038, -1.0, -1.0, -1.0, ?, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.6, 1.0, -1.0, -1.0, -1.0, -0.75, -1.0, -1.0, -0.789, -1.0, -0.6, -1.0, 1.0, -1.0, -1.0, 1.0, 0.267, -0.667, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.374, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -0.267, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
-1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, -0.578, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.692, -1.0, 0.2, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -0.714, -0.367, -1.0, -1.0, -1.0, -0.333, -1.0, -1.0, 0.056, -1.0, -0.667, 1.0, -1.0, -1.0, -1.0, -1.0, -0.367, -0.667, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.267, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, ?, -1.0, -1.0, ?, ?, ?, ?, ?, ?, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, N
